utterance,intent
excuse,dialog_sorry
I beg your pardon,dialog_sorry
pardon,dialog_sorry
I said sorry,dialog_sorry
I am really sorry,dialog_sorry
forgive me,dialog_sorry
sorry about that,dialog_sorry
sorry about this,dialog_sorry
really sorry,dialog_sorry
very sorry,dialog_sorry
ok sorry,dialog_sorry
I want to say sorry,dialog_sorry
alright I'm sorry,dialog_sorry
okay I'm sorry,dialog_sorry
what exactly do you mean?,dialog_what_do_you_mean
what do you mean?,dialog_what_do_you_mean
is that what you mean,dialog_what_do_you_mean
what do you mean exactly?,dialog_what_do_you_mean
but what do you mean,dialog_what_do_you_mean
what did you mean?,dialog_what_do_you_mean
i don't understand what you meant,dialog_what_do_you_mean
what did you blabber?,dialog_what_do_you_mean
don't blabber,dialog_what_do_you_mean
you don't understand like anything,dialog_what_do_you_mean
Why do you lie?,dialog_what_do_you_mean
that was wrong,dialog_wrong
that's not what I asked,dialog_wrong
that's wrong,dialog_wrong
wrong,dialog_wrong
it is not right,dialog_wrong
that's not right,dialog_wrong
it's wrong,dialog_wrong
that is incorrect,dialog_wrong
incorrect,dialog_wrong
not correct,dialog_wrong
you are wrong,dialog_wrong
not right,dialog_wrong
don't think that you know everything,dialog_wrong
u don't know anything,dialog_wrong
you misinterpret,dialog_wrong
you misunderstood,dialog_wrong
u took it in a wrong way,dialog_wrong
lol,emotions_ha_ha
xd,emotions_ha_ha
ha ha,emotions_ha_ha
ahahah,emotions_ha_ha
ahah lol,emotions_ha_ha
laughing out loud,emotions_ha_ha
LMAO,emotions_ha_ha
that's funny,emotions_ha_ha
ah,emotions_ha_ha
ah ah ah,emotions_ha_ha
ahah,emotions_ha_ha
ahaha,emotions_ha_ha
ahahaha,emotions_ha_ha
ha,emotions_ha_ha
ha ha ha,emotions_ha_ha
ha ha ha ha,emotions_ha_ha
hah,emotions_ha_ha
haha,emotions_ha_ha
haha funny,emotions_ha_ha
haha haha haha,emotions_ha_ha
haha that's funny,emotions_ha_ha
haha very funny,emotions_ha_ha
hahaha,emotions_ha_ha
hahaha funny,emotions_ha_ha
hahaha very funny,emotions_ha_ha
he,emotions_ha_ha
hehe,emotions_ha_ha
hehehe,emotions_ha_ha
lmao,emotions_ha_ha
joker,emotions_ha_ha
wow,emotions_wow
wow wow,emotions_wow
wow wow wow,emotions_wow
wooow,emotions_wow
woah,emotions_wow
woaah,emotions_wow
amazing,emotions_wow
wow man,emotions_wow
whoah,emotions_wow
woow,emotions_wow
wow!!,emotions_wow
wheey,emotions_wow
okay see you later,greetings_bye
hope to see you later,greetings_bye
bye for now,greetings_bye
till next time,greetings_bye
I must go,greetings_bye
bye,greetings_bye
goodbye,greetings_bye
see you,greetings_bye
see you soon,greetings_bye
bye-bye,greetings_bye
bye bye good night,greetings_bye
good bye,greetings_bye
bye bye see you,greetings_bye
bye bye see you soon,greetings_bye
bye bye take care,greetings_bye
I said bye,greetings_bye
never mind bye,greetings_bye
now bye,greetings_bye
that's all goodbye,greetings_bye
that's it goodbye,greetings_bye
leave me alone,greetings_bye
go to bed,greetings_bye
goodbye for now,greetings_bye
talk to you later,greetings_bye
you can go now,greetings_bye
get lost,greetings_bye
goodbye see you later,greetings_bye
alright bye,greetings_bye
see ya,greetings_bye
thanks bye bye,greetings_bye
okay bye,greetings_bye
okay thank you bye,greetings_bye
see you tomorrow,greetings_bye
ok bye,greetings_bye
c u,greetings_bye
good evening,greetings_goodevening
good evening to you,greetings_goodevening
hey good evening,greetings_goodevening
hello good evening,greetings_goodevening
evening,greetings_goodevening
good evening there,greetings_goodevening
have an awesome evening,greetings_goodevening
happy evening,greetings_goodevening
good evening there buddy,greetings_goodevening
have a good evening,greetings_goodevening
enjoy the evening,greetings_goodevening
GM,greetings_goodmorning
good morning,greetings_goodmorning
good morning to you,greetings_goodmorning
hello good morning,greetings_goodmorning
have a nice morning,greetings_goodmorning
have a great morning,greetings_goodmorning
morning,greetings_goodmorning
good morning there,greetings_goodmorning
top of the morning to you,greetings_goodmorning
a good morning,greetings_goodmorning
good morning to you,greetings_goodmorning
hi good morning,greetings_goodmorning
and a good morning to you,greetings_goodmorning
good morning too,greetings_goodmorning
GN,greetings_goodnight
sweet dreams,greetings_goodnight
good night,greetings_goodnight
have a good night,greetings_goodnight
good night to you,greetings_goodnight
thank you good night,greetings_goodnight
bye good night,greetings_goodnight
good night bye,greetings_goodnight
bye good night,greetings_goodnight
good good night,greetings_goodnight
good night for now,greetings_goodnight
goodnight,greetings_goodnight
night,greetings_goodnight
thanks goodnight,greetings_goodnight
good night see you tomorrow,greetings_goodnight
alright goodnight,greetings_goodnight
good tonight,greetings_goodnight
okay have a good night,greetings_goodnight
night,greetings_goodnight
have a good night,greetings_goodnight
long time no see,greetings_hello
hello,greetings_hello
hi,greetings_hello
howdy,greetings_hello
hey there,greetings_hello
hey,greetings_hello
greetings,greetings_hello
I greet you,greetings_hello
hi there,greetings_hello
hello there,greetings_hello
lovely day isn't it,greetings_hello
hello again,greetings_hello
just going to say hi,greetings_hello
hi there,greetings_hello
a good day,greetings_hello
afternoon,greetings_hello
hello hi,greetings_hello
heya,greetings_hello
hey,greetings_hello
hi,greetings_hello
hi,greetings_hello
Hello,greetings_hello
hey,greetings_hello
hey man,greetings_hello
hey there,greetings_hello
hey buddy,greetings_hello
oka,greetings_hello
yo man,greetings_hello
hola,greetings_hello
how is your morning so far,greetings_how_are_you
how are you getting on,greetings_how_are_you
how's your day going,greetings_how_are_you
how are you?,greetings_how_are_you
is everything all right,greetings_how_are_you
how are you doing?,greetings_how_are_you
how are the things going,greetings_how_are_you
are you alright,greetings_how_are_you
are you okay?,greetings_how_are_you
how are you feeling,greetings_how_are_you
how are you going?,greetings_how_are_you
is everything okay,greetings_how_are_you
how are you today?,greetings_how_are_you
how do you do?,greetings_how_are_you
how do you feel?,greetings_how_are_you
how have you been?,greetings_how_are_you
how is it going?,greetings_how_are_you
how is your day,greetings_how_are_you
how is your day going,greetings_how_are_you
how is your evening,greetings_how_are_you
how was your day,greetings_how_are_you
are you having a good day,greetings_how_are_you
hope your day is going well,greetings_how_are_you
hope you re having a pleasant evening,greetings_how_are_you
how's life?,greetings_how_are_you
I'm fine and you,greetings_how_are_you
how is your life,greetings_how_are_you
how has your day been,greetings_how_are_you
how is your morning going,greetings_how_are_you
how has your day been going,greetings_how_are_you
how about you?,greetings_how_are_you
how is your day being,greetings_how_are_you
how is your day going on,greetings_how_are_you
how your day is going,greetings_how_are_you
what was your day like,greetings_how_are_you
what about your day,greetings_how_are_you
how's your day,greetings_how_are_you
how are you doing this morning,greetings_how_are_you
how do you do?,greetings_how_are_you
how are you,greetings_how_are_you
nice to meet you,greetings_nice_to_meet_you
it was nice meeting you,greetings_nice_to_meet_you
it was very nice to meet you,greetings_nice_to_meet_you
good to know each other,greetings_nice_to_meet_you
glad to meet you,greetings_nice_to_meet_you
nice meeting you,greetings_nice_to_meet_you
nice to meet you too,greetings_nice_to_meet_you
pleased to meet you,greetings_nice_to_meet_you
pleasure to meet you,greetings_nice_to_meet_you
pleasure to meet you too,greetings_nice_to_meet_you
happy to meet you,greetings_nice_to_meet_you
Itâ€™s a pleasure to meet you again,greetings_nice_to_meet_you
Itâ€™s very nice to meet you,greetings_nice_to_meet_you
Lovely to meet you,greetings_nice_to_meet_you
How wonderful to meet you,greetings_nice_to_meet_you
It was lovely meeting you,greetings_nice_to_meet_you
Itâ€™s been a pleasure meeting you,greetings_nice_to_meet_you
Iâ€™ve enjoyed meeting you,greetings_nice_to_meet_you
Great interacting with you,greetings_nice_to_meet_you
I had a great time or meeting,greetings_nice_to_meet_you
it's nice to see you,greetings_nice_to_see_you
lovely to see you,greetings_nice_to_see_you
I'm glad to see you,greetings_nice_to_see_you
great to see you,greetings_nice_to_see_you
it's good to see you,greetings_nice_to_see_you
glad to see you,greetings_nice_to_see_you
how good it is to see you,greetings_nice_to_see_you
always a pleasure to see you,greetings_nice_to_see_you
nice to see you,greetings_nice_to_see_you
good to see you,greetings_nice_to_see_you
great to see you again,greetings_nice_to_see_you
great to see you too,greetings_nice_to_see_you
I am glad to see you again,greetings_nice_to_see_you
nice to see you again,greetings_nice_to_see_you
good to see you again,greetings_nice_to_see_you
it's good to see you too,greetings_nice_to_see_you
It was great catching up with u,greetings_nice_to_see_you
I'm really pleased to see u again,greetings_nice_to_see_you
Iâ€™m delighted to see you again,greetings_nice_to_see_you
Great seeing u,greetings_nice_to_see_you
it's been so nice to talk to you,greetings_nice_to_talk_to_you
it's been a pleasure talking to you,greetings_nice_to_talk_to_you
nice to talk to you,greetings_nice_to_talk_to_you
it's nice to talk to you,greetings_nice_to_talk_to_you
nice talking to you,greetings_nice_to_talk_to_you
it is nice talking to you,greetings_nice_to_talk_to_you
how nice it is to talk to you,greetings_nice_to_talk_to_you
it was great chatting with you,greetings_nice_to_talk_to_you
nice to talk to you again,greetings_nice_to_talk_to_you
It was nice speaking with you,greetings_nice_to_talk_to_you
It was great to talk to you,greetings_nice_to_talk_to_you
nice chatting with you,greetings_nice_to_talk_to_you
pleased to talk to you,greetings_nice_to_talk_to_you
pleasure to talk,greetings_nice_to_talk_to_you
It's been a pleasure talking to u,greetings_nice_to_talk_to_you
what is on your mind?,greetings_whatsup
what's happened,greetings_whatsup
what is up,greetings_whatsup
what's up,greetings_whatsup
whazzup,greetings_whatsup
sup?,greetings_whatsup
good what's up,greetings_whatsup
I said what's up,greetings_whatsup
then what's up,greetings_whatsup
what's shaking,greetings_whatsup
wassup,greetings_whatsup
what are you doing?,greetings_whatsup
what is going on,greetings_whatsup
what is happening,greetings_whatsup
what's cracking,greetings_whatsup
what's cooking,greetings_whatsup
hey what's up,greetings_whatsup
what's up today,greetings_whatsup
oh What happened?,greetings_whatsup
What are you upto?,greetings_whatsup
hey buddy wassup,greetings_whatsup
sup then,greetings_whatsup
so wassup,greetings_whatsup
buddy sup,greetings_whatsup
What are you doing?,greetings_whatsup
what is up with you these days?,greetings_whatsup
What you upto?,greetings_whatsup
then?,greetings_whatsup
wassup yo,greetings_whatsup
sup yo,greetings_whatsup
wassap yo,greetings_whatsup
I'm being mad,user_angry
I'm enraged,user_angry
I'm angry,user_angry
I'm furious,user_angry
I am angry with you,user_angry
I am mad,user_angry
I am mad at you,user_angry
i'm pissed off,user_angry
you have pissed me off,user_angry
I'm mad at you,user_angry
I am pissed,user_angry
I'm furious with you,user_angry
I got angry,user_angry
I was angry,user_angry
I became angry,user_angry
I was very angry,user_angry
You bet I'm angry,user_angry
That made me angry,user_angry
U made me angry,user_angry
I'm still angry about that,user_angry
boss is back,user_back
I am back,user_back
I'm here again,user_back
here I am again,user_back
I got back,user_back
I came back,user_back
I have returned,user_back
I am right back,user_back
I'm rb,user_back
I'm here,user_back
I'm back again,user_back
am back,user_back
I'm back,user_back
I am right back,user_back
look who is back,user_back
soo bored,user_bored
that was boring,user_bored
I'm bored,user_bored
bored,user_bored
boring,user_bored
I am getting bored,user_bored
Staying at home is boring,user_bored
very boring,user_bored
it bores me,user_bored
i had a slow day,user_bored
i am very bored,user_bored
Im kinda bored today,user_bored
I've never been more bored,user_bored
I was bored,user_bored
It's boring,user_bored
This is boring,user_bored
We're all bored,user_bored
It's very boring,user_bored
I'm already bored,user_bored
I'm bored out of my mind,user_bored
busy right now,user_busy
I'm overloaded,user_busy
I have no time,user_busy
I'm busy,user_busy
I'm swamped,user_busy
I got things to do,user_busy
how busy I am,user_busy
I got work to do,user_busy
I'm working,user_busy
I don't have time for this,user_busy
I'm super busy,user_busy
I'm working right now,user_busy
I'm busy right now and can't play with you,user_busy
I have rather a busy afternoon in front of me,user_busy
i am too busy,user_busy
I am very busy,user_busy
I'm a bit busy,user_busy
I'm a busy man,user_busy
quite busy,user_busy
I'm kind of busy,user_busy
I'll see you later,user_busy
I'm insomnia's,user_can_not_sleep
I'm sleepless,user_can_not_sleep
I can't get any sleep,user_can_not_sleep
I can't sleep,user_can_not_sleep
I can't fall asleep,user_can_not_sleep
I can't get to sleep,user_can_not_sleep
I'm insomniac,user_can_not_sleep
I'm not able to sleep,user_can_not_sleep
I'm wide awake,user_can_not_sleep
I can't seem to fall asleep,user_can_not_sleep
I couldn't sleep,user_can_not_sleep
I just can't sleep,user_can_not_sleep
I can't sleep at all,user_can_not_sleep
I didn't go to sleep,user_can_not_sleep
I just couldn't sleep,user_can_not_sleep
I'm not sleeping well,user_can_not_sleep
Trying to get some sleep,user_can_not_sleep
I can't sleep at night,user_can_not_sleep
I couldn't get to sleep,user_can_not_sleep
I didn't get much sleep,user_can_not_sleep
bad time for talking,user_does_not_want_to_talk
I don't want to talk,user_does_not_want_to_talk
let's not talk,user_does_not_want_to_talk
I'm not talking to you anymore,user_does_not_want_to_talk
I don't want to talk to you,user_does_not_want_to_talk
let's stop talking for a minute,user_does_not_want_to_talk
I'm not in the mood for chatting,user_does_not_want_to_talk
I don't want to talk to you,user_does_not_want_to_talk
I don't like talking to you,user_does_not_want_to_talk
Let's stop talking,user_does_not_want_to_talk
I'm not in a mood to talk,user_does_not_want_to_talk
stop your nuisance talk,user_does_not_want_to_talk
I am done talking to u,user_does_not_want_to_talk
Can u pls stop talking,user_does_not_want_to_talk
I am excited,user_excited
I'm really excited,user_excited
how excited I am,user_excited
I'm thrilled,user_excited
I'm excited about working with you,user_excited
I'm excited to start our friendship,user_excited
I'm thrilled,user_excited
I am thrilled to talk to you,user_excited
I'm damn excited,user_excited
I'm hyped,user_excited
I'm very excited,user_excited
I felt excited,user_excited
It was exciting,user_excited
That was exciting,user_excited
I'm really excited,user_excited
How exciting!,user_excited
i'm excited about tomorrow,user_excited
It was very exciting! I'd like to use this feature again,user_excited
I'm pretty excited about it,user_excited
It's fun and exciting,user_excited
let's go to bed,user_going_to_bed
I'd like to go to bed,user_going_to_bed
is it time for bed yet,user_going_to_bed
it's time to go to bed,user_going_to_bed
time for us to go to bed,user_going_to_bed
I'm going to bed,user_going_to_bed
I'm a little tired and I want to go to bed,user_going_to_bed
it's bed time,user_going_to_bed
going to bed now,user_going_to_bed
gonna go to bed,user_going_to_bed
time to sleep,user_going_to_bed
I sometimes feel drowsy in the early afternoon,user_going_to_bed
I am good,user_good
I'm doing just great,user_good
I'm doing fine,user_good
I'm good,user_good
I'm doing good,user_good
I'm great thanks,user_good
I'm super good,user_good
I'm feeling great,user_good
I'm in a good mood,user_good
I'm doing really good,user_good
good,user_good
It's good,user_good
I feel good,user_good
That's good,user_good
That feels good,user_good
I feel very good,user_good
i am pretty good,user_good
I feel good today,user_good
I am really good,user_good
Feeling happy,user_happy
I am happy,user_happy
I'm happy to see you,user_happy
happy,user_happy
if you're happy then I'm happy,user_happy
I'm happy for you,user_happy
I'm happy to help,user_happy
I'm happy to see you,user_happy
you made me very happy,user_happy
I'm glad to see you,user_happy
I'm happy to talk to you,user_happy
I was the happiest man on earth,user_happy
I'm just really happy right now,user_happy
I'm really happy I ran into you,user_happy
I feel happiest when I'm chatting with u,user_happy
Nobody but you can make me happy,user_happy
"Whenever I see you, I feel happy",user_happy
ur smile always makes me happy,user_happy
i feel happy,user_happy
i was so happy,user_happy
You know today it's my bday,user_has_birthday
it is my birthday,user_has_birthday
I'm celebrating my birthday today,user_has_birthday
today is my birthday,user_has_birthday
it's my birthday today,user_has_birthday
I was born today,user_has_birthday
it's my b-day,user_has_birthday
i was born on this day,user_has_birthday
It's my born day,user_has_birthday
I want you to know that it's my birthday today,user_has_birthday
yaaaay it is my birthday,user_has_birthday
I'm here,user_here
here buddy,user_here
here dude,user_here
I am here,user_here
here I am,user_here
I'm right here,user_here
I'm already here,user_here
I'm here buddy,user_here
I've not gone anywhere,user_here
I've been here all the time,user_here
I'm here only,user_here
Here i come,user_here
I'm out here,user_here
i am over here,user_here
Now look here,user_here
Look over here,user_here
I just got here,user_here
I am joking,user_joking
I'm kidding,user_joking
I'm just being funny,user_joking
it was a joke,user_joking
I was just joking,user_joking
it's a joke,user_joking
joking,user_joking
just kidding,user_joking
kidding,user_joking
I'm just playing with you,user_joking
This was meant as a joke,user_joking
i told a joke,user_joking
I'm just joking,user_joking
I was just joking,user_joking
It was just a joke,user_joking
It's all a big joke,user_joking
I meant it as a joke,user_joking
That was just a joke,user_joking
i said that as a joke,user_joking
"I'm joking, of course",user_joking
I like you the way you are,user_likes_agent
I like you,user_likes_agent
I like you a lot,user_likes_agent
I think I like you,user_likes_agent
I liked you,user_likes_agent
like you a lot,user_likes_agent
you are special,user_likes_agent
I like you too,user_likes_agent
I really like you,user_likes_agent
but I like you,user_likes_agent
I like u,user_likes_agent
just like you,user_likes_agent
I like you very much,user_likes_agent
I like you so much,user_likes_agent
yeah I like you,user_likes_agent
you're special,user_likes_agent
yes I like you,user_likes_agent
okay I like you,user_likes_agent
you are special to me,user_likes_agent
you are very special,user_likes_agent
you are so sweet,user_likes_agent
you know I like you,user_likes_agent
that's why I like you,user_likes_agent
I like you baby,user_likes_agent
you are very special to me,user_likes_agent
I just like you,user_likes_agent
hey I like you,user_likes_agent
thank you I like you too,user_likes_agent
I do like you,user_likes_agent
you are special for me,user_likes_agent
no I like you the way you are,user_likes_agent
I like you already,user_likes_agent
well you are special,user_likes_agent
but I really like you,user_likes_agent
I like you more,user_likes_agent
that's what I like about you,user_likes_agent
you are so special,user_likes_agent
hi I like you,user_likes_agent
I really really like you,user_likes_agent
you're very special,user_likes_agent
I like you as a friend,user_likes_agent
that's because you are special,user_likes_agent
I said I like you,user_likes_agent
you're so special,user_likes_agent
good I like you,user_likes_agent
yes you are special,user_likes_agent
I like your smile,user_likes_agent
I like you as you are,user_likes_agent
I'm starting to like you,user_likes_agent
you're awesome I like you,user_likes_agent
I also like you,user_likes_agent
but I like u,user_likes_agent
of course I like you,user_likes_agent
I like you too you're one of my favorite people to chat with,user_likes_agent
but I like you so much,user_likes_agent
really like you,user_likes_agent
you're funny I like you,user_likes_agent
I kinda like you,user_likes_agent
you're so special to me,user_likes_agent
you're very special to me,user_likes_agent
I like that about you,user_likes_agent
but I like you just the way you are,user_likes_agent
okay I like you too,user_likes_agent
I like you you're cool,user_likes_agent
I like you very,user_likes_agent
I like you you're nice,user_likes_agent
sorry I like you,user_likes_agent
thanks I like you too,user_likes_agent
you are really special,user_likes_agent
you are so special to me,user_likes_agent
cuz I like you,user_likes_agent
I like you now,user_likes_agent
I like you too much,user_likes_agent
I really do like you,user_likes_agent
I really really really really like you,user_likes_agent
I like you just the way you are,user_likes_agent
I am lonely,user_lonely
I'm very lonely,user_lonely
I'm so lonely,user_lonely
I'm really lonely,user_lonely
I am feeling lonely,user_lonely
I feel lonely,user_lonely
I am a loner,user_lonely
I don't have any company,user_lonely
I don't have anyone else,user_lonely
I'm always alone,user_lonely
I'm alone,user_lonely
am all alone,user_lonely
I live alone,user_lonely
I'm all alone,user_lonely
I've gotten used to living alone,user_lonely
I think I've been living alone too long,user_lonely
One of the disadvantages of living alone is that you have no one to talk to,user_lonely
I am still alone,user_lonely
i lives in this city all alone,user_lonely
I am used to living alone,user_lonely
what do I look like,user_looks_like
how do I look?,user_looks_like
how do I look like,user_looks_like
do I look good ?,user_looks_like
do you know what I look like ?,user_looks_like
can you tell what I look like ?,user_looks_like
what do you think I look like?,user_looks_like
am i good looking?,user_looks_like
what do you think about my looks,user_looks_like
Whom do i look like?,user_looks_like
what do u think of me?,user_looks_like
what do u think about me?,user_looks_like
do u think i look good?,user_looks_like
any idea of how good i look like?,user_looks_like
Ain't i look good?,user_looks_like
I love you,user_loves_agent
love you,user_loves_agent
I adore you,user_loves_agent
I am in love with you,user_loves_agent
I love you so much,user_loves_agent
I love you too,user_loves_agent
I think I love you,user_loves_agent
loving you,user_loves_agent
you know I love you,user_loves_agent
do you love me ?,user_loves_agent
Love you so much,user_loves_agent
my heart is filled with you,user_loves_agent
I love u to the moon and back,user_loves_agent
I am in deep love with you,user_loves_agent
you r unique,user_loves_agent
I miss you,user_misses_agent
missing you,user_misses_agent
miss you,user_misses_agent
I miss you very much,user_misses_agent
I'll miss you so much,user_misses_agent
I missed you,user_misses_agent
I've missed you,user_misses_agent
miss you buddy,user_misses_agent
miss you badly,user_misses_agent
miss you :(,user_misses_agent
I missed you,user_misses_agent
I'll miss you,user_misses_agent
We'll miss you,user_misses_agent
I just miss you,user_misses_agent
I've missed you,user_misses_agent
I miss you a lot,user_misses_agent
I really miss you,user_misses_agent
I miss you already,user_misses_agent
I think i miss u,user_misses_agent
I miss talking with you,user_misses_agent
what should I do about it,user_needs_advice
any suggestions,user_needs_advice
what do you recommend,user_needs_advice
give me a wise advice,user_needs_advice
I need advice,user_needs_advice
any advice,user_needs_advice
do you have any advice for me,user_needs_advice
advise me,user_needs_advice
what should I do,user_needs_advice
can I ask for your advice,user_needs_advice
can you advise me,user_needs_advice
guide me,user_needs_advice
can you give me advice,user_needs_advice
can you offer any advice,user_needs_advice
give me some advice about,user_needs_advice
give me some good advice,user_needs_advice
help me with advice,user_needs_advice
I could use some advice,user_needs_advice
I need an advice from you,user_needs_advice
I seek your advice,user_needs_advice
what can you recommend,user_needs_advice
what do you suggest,user_needs_advice
what is your advice,user_needs_advice
I'm in a sad mood,user_sad
I am sad,user_sad
I'm grieving,user_sad
I am depressed,user_sad
I am feeling sad,user_sad
I am upset,user_sad
I'm unhappy,user_sad
I'm having a bad day,user_sad
I want to cry,user_sad
I'm not happy,user_sad
feeling sad,user_sad
I felt sad for no reason,user_sad
Now I'm sad,user_sad
It makes me sad,user_sad
I am sad to hear it,user_sad
I am a very sad person,user_sad
I feel sad every now and then,user_sad
I am as sad and lonely as can be,user_sad
feeling so down,user_sad
i am not in a good mood,user_sad
I am sleepy,user_sleepy
I want to sleep,user_sleepy
I'm falling asleep,user_sleepy
I'm falling asleep on my feet,user_sleepy
I'm sleeping,user_sleepy
I am drowsy,user_sleepy
i will sleep anytime,user_sleepy
i will doze off,user_sleepy
I am too sleepy today,user_sleepy
feeling too sleepy,user_sleepy
i want to sleep,user_sleepy
test,user_testing_agent
I am testing you,user_testing_agent
can I test you,user_testing_agent
I want to test you,user_testing_agent
just testing you,user_testing_agent
let me test you,user_testing_agent
testing chatbot,user_testing_agent
testing,user_testing_agent
this is just a test,user_testing_agent
you are being tested,user_testing_agent
you're tested,user_testing_agent
I'm drained,user_tired
I've overworked,user_tired
I am tired,user_tired
I'm exhausted,user_tired
I grow weary,user_tired
I'm worn out,user_tired
I'm getting tired,user_tired
I feel tired,user_tired
I'm so tired,user_tired
I'm completely drained out,user_tired
I'm very tired,user_tired
i was tired,user_tired
i feel tired,user_tired
i'm dead tired,user_tired
I'm a bit tires,user_tired
I was very tired,user_tired
I am really tired,user_tired
i am awfully tired,user_tired
i am kind of so tired,user_tired
I am little tired,user_tired
I'm waiting,user_waits
still waiting,user_waits
I'll wait,user_waits
I can't wait anymore,user_waits
how long do I have to wait?,user_waits
don't make me wait like this,user_waits
I'm still waiting,user_waits
I'm waiting for you,user_waits
I'm waiting for a long time,user_waits
I'll be waiting for you,user_waits
I'll be waiting,user_waits
done with waiting,user_waits
Should I wait for you here?,user_waits
How long will we have to wait?,user_waits
Don't ever make me wait again,user_waits
I was waiting for a long time,user_waits
I've waited too long for this,user_waits
I couldn't wait another second,user_waits
I've been here waiting for you,user_waits
I am tired of waiting,user_waits
I'd like to see you again,user_wants_to_see_agent_again
I hope to see you again,user_wants_to_see_agent_again
would be nice to see you again,user_wants_to_see_agent_again
that'd be great to see you again,user_wants_to_see_agent_again
I'd be happy to see you again,user_wants_to_see_agent_again
let's meet soon,user_wants_to_see_agent_again
i want to see you again soon,user_wants_to_see_agent_again
let's catch up soon,user_wants_to_see_agent_again
I will see you soon,user_wants_to_see_agent_again
want to see u very badly,user_wants_to_see_agent_again
I want to see you again,user_wants_to_see_agent_again
let's discuss something,user_wants_to_talk
let's have a discussion,user_wants_to_talk
can I speak,user_wants_to_talk
can I start speaking,user_wants_to_talk
can we talk,user_wants_to_talk
speak with me,user_wants_to_talk
let's talk,user_wants_to_talk
I want to talk to you,user_wants_to_talk
I need to talk to you,user_wants_to_talk
I want to speak with you,user_wants_to_talk
can we chat,user_wants_to_talk
I like talking to you,user_wants_to_talk
Talk  to me,user_wants_to_talk
Want to talk now,user_wants_to_talk
Can I talk now?,user_wants_to_talk
Can we talk here?,user_wants_to_talk
I'm ready to talk,user_wants_to_talk
I'm happy to talk,user_wants_to_talk
Can I talk with you?,user_wants_to_talk
"Come on, talk to me",user_wants_to_talk
I'll get back to you in a moment,user_will_be_back
be back in 5 minutes,user_will_be_back
I'll be back,user_will_be_back
I promise to come back,user_will_be_back
I'll be back in a few minutes,user_will_be_back
I'll brb,user_will_be_back
brb,user_will_be_back
I'll be right back,user_will_be_back
I'll come back,user_will_be_back
I shall be back,user_will_be_back
I assure that i will be back soon,user_will_be_back
I would be back man,user_will_be_back
i will get back to u,user_will_be_back
give me five,user_will_be_back
one sec,user_will_be_back
i will return,user_will_be_back
i'll return shortly,user_will_be_back
I'll return in a jiffy,user_will_be_back
"When I return, we'll talk",user_will_be_back
I'll return in ten minutes,user_will_be_back
yeah exactly,confirmation_yes
okay that's fine,confirmation_yes
I agree,confirmation_yes
that is ok,confirmation_yes
I guess,confirmation_yes
okey,confirmation_yes
ya,confirmation_yes
ok yes,confirmation_yes
yes it is,confirmation_yes
yep,confirmation_yes
yew,confirmation_yes
yeah,confirmation_yes
yeah fine,confirmation_yes
yea fine,confirmation_yes
yep okay,confirmation_yes
fine okay,confirmation_yes
yup,confirmation_yes
YEAH,confirmation_yes
okay buddy,confirmation_yes
oh okay,confirmation_yes
yeah sure,confirmation_yes
okay cool,confirmation_yes
coool,confirmation_yes
nevermind forget about it,confirmation_cancel
nothing just forget it,confirmation_cancel
no just cancel,confirmation_cancel
sorry cancel,confirmation_cancel
disregard,confirmation_cancel
no cancel cancel,confirmation_cancel
forget,confirmation_cancel
cancel everything,confirmation_cancel
cancel that one,confirmation_cancel
i want to cancel,confirmation_cancel
cancel it,confirmation_cancel
cancelled,confirmation_cancel
cancel it now,confirmation_cancel
don't want cancel,confirmation_cancel
cancel soon,confirmation_cancel
shall stand cancelled,confirmation_cancel
don't,confirmation_no
don't want,confirmation_no
need not,confirmation_no
don't come,confirmation_no
never help,confirmation_no
never,confirmation_no
not needed,confirmation_no
of course not,confirmation_no
never,confirmation_no
not at this time,confirmation_no
not exactly,confirmation_no
absolutely no,confirmation_no
no forget,confirmation_no
do not,confirmation_no
no thanks,confirmation_no
no don't want,confirmation_no
sorry no,confirmation_no
don't want your help,confirmation_no
I don't you help,confirmation_no
I don't want your assistance,confirmation_no
get out goodbye,confirmation_no
i do not want your help,confirmation_no
i don't need your help,confirmation_no
i don't want your help,confirmation_no
i am not okay with your help,confirmation_no
don't want,confirmation_no
do not,confirmation_no
I don't need anything from you,confirmation_no
okay keep it in mind,confirmation_no
nope i dont need your help,confirmation_no
Don't show off,confirmation_no
nope,confirmation_no
